Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
Honda Vezel 1.5A X Honda Sensing,SUV,2015-10-14,4yrs 4mths 7days COE left),10310,50000,682,31237,56001,1496,1190,2015,Auto,19775,9775,96,2,49800,1587,52.233333333333334,Honda
Suzuki Swift Sport 1.6M (COE till 12/2022),Hatchback,2007-12-28,1yr 6mths 21days COE left),8210,203000,1030,6656,21349,1586,1060,2007,Manual,12154,13370,92,2,12800,566,18.7,Suzuki
Porsche 718 Cayman 2.0A PDK,Sports Car,2017-07-19,6yrs 1mth 12days COE left),34200,21000,1200,106829,50110,1988,1365,2017,Auto,71979,101563,220,1,259988,2232,73.4,Porsche
Hyundai Elantra 1.6A Elite,Mid-Sized Sedan,2014-11-14,3yrs 5mths 7days COE left),11010,35000,738,31339,64900,1591,1292,2014,Auto,13856,13856,97,1,44800,1252,41.233333333333334,Hyundai
Kia Cerato 1.6A GT Line Sunroof,Mid-Sized Sedan,2019-07-04,8yrs 27days COE left),9450,21200,738,38416,30009,1591,1287,2018,Auto,18894,18894,93,1,85800,2947,96.9,Kia
BMW 3 Series 320i,Luxury Sedan,2012-12-05,1yr 5mths 28days COE left),17610,170000,1210,33118,86889,1997,1420,2012,Auto,38514,38514,135,2,45600,543,17.933333333333334,BMW
Mitsubishi Lancer EX 2.0A GLS (COE till 03/2028),Mid-Sized Sedan,2008-03-28,6yrs 9mths 21days COE left),7470,251000,1694,30648,44998,1998,1427,2007,Auto,17722,17722,114,2,50900,2481,81.7,Mitsubishi
Mercedes-Benz E-Class E250 Edition E Sunroof,Luxury Sedan,2016-02-29,4yrs 8mths 22days COE left),18450,84000,1202,70842,50089,1991,1680,2015,Auto,52959,67327,155,2,120999,1722,56.733333333333334,Mercedes-Benz
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2015-05-14,3yrs 11mths 7days COE left),18550,98000,740,47541,68668,1595,1425,2015,Auto,35392,31549,115,1,88800,1432,47.233333333333334,Mercedes-Benz
Audi S5 Sportback 3.0A TFSI Quattro (COE till 11/2030),Sports Car,2010-11-25,9yrs 5mths 18days COE left),11280,105000,2618,37909,40014,2995,1755,2010,Auto,64519,64519,245,5,106888,3453,113.6,Audi
Mazda 3 1.5A Deluxe,Mid-Sized Sedan,2015-10-20,4yrs 4mths 13days COE left),10100,108138,682,34406,57498,1496,1321,2015,Auto,18235,13235,88,1,50800,1593,52.43333333333333,Mazda
Toyota Sienta 1.5A Standard,MPV,2018-12-10,7yrs 6mths 3days COE left),9310,29339,682,32480,25556,1496,1325,2018,Auto,17699,17699,79,1,78800,2738,90.1,Toyota
Toyota Sienta 1.5A G LED,MPV,2017-09-29,6yrs 3mths 22days COE left),10720,49000,682,36490,44002,1496,1320,2016,Auto,21145,11603,80,1,73500,2302,75.73333333333333,Toyota
Honda Stream 1.8A X (COE till 12/2028),MPV,2008-12-19,7yrs 6mths 12days COE left),6340,142000,1271,23790,31553,1799,1350,2008,Auto,17982,17982,103,4,47800,2747,90.4,Honda
Mazda 3 1.5A Sunroof,Mid-Sized Sedan,2014-12-26,3yrs 6mths 19days COE left),10690,102000,682,26681,65889,1496,1339,2014,Auto,14208,5000,88,2,40500,1294,42.63333333333333,Mazda
BMW 3 Series 318i Sport,Luxury Sedan,2016-07-07,5yrs 1mth  COE left),14440,65800,684,49546,55100,1499,1425,2016,Auto,29816,28743,100,1,87800,1855,61.0,BMW
Audi A3 Sedan 1.0A TFSI S-tronic,Luxury Sedan,2017-01-20,5yrs 7mths 13days COE left),11500,90000,392,40968,50889,999,1280,2016,Auto,24614,16460,85,2,72888,2048,67.43333333333334,Audi
BMW 5 Series 520i Luxury,Luxury Sedan,2019-11-13,8yrs 5mths 6days COE left),19620,26339,1210,83562,40009,1998,1530,2019,Auto,52437,66387,135,1,198800,3076,101.2,BMW
BMW M Series X3 M40i,SUV,2020-08-06,9yrs 1mth 30days COE left),28220,14000,2384,110552,37102,2998,1845,2020,Auto,72244,102040,285,1,309800,3345,110.0,BMW
BMW 3 Series 335i M-Sport Sunroof (COE till 02/2028),Luxury Sedan,2008-03-13,6yrs 8mths 23days COE left),11260,133000,3307,34074,50578,2979,1535,2007,Manual,66046,66046,225,1,75888,2453,80.76666666666667,BMW
Mercedes-Benz A-Class A200 AMG Line,Hatchback,2019-06-20,8yrs 13days COE left),14490,22500,586,60868,39728,1332,1375,2019,Auto,33259,38563,120,2,135800,2933,96.43333333333334,Mercedes-Benz
Honda Civic 1.5A VTEC Turbo Sunroof,Mid-Sized Sedan,2016-10-07,5yrs 4mths  COE left),12750,80000,684,48059,57010,1498,1324,2016,Auto,26078,23510,127,1,79800,1945,64.0,Honda
BMW X4 xDrive30i M-Sport,SUV,2020-10-19,9yrs 4mths 12days COE left),23840,5072,1210,91488,40790,1998,1750,2020,Auto,59276,78697,185,1,262800,3417,112.4,BMW
BMW 2 Series 216i Gran Tourer Sport,MPV,2019-04-26,7yrs 10mths 19days COE left),12660,49317,684,49819,29159,1499,1490,2019,Auto,31249,35749,80,1,117800,2874,94.63333333333334,BMW
Mitsubishi Attrage 1.2A,Mid-Sized Sedan,2015-10-12,4yrs 4mths 5days COE left),8500,48752,506,28516,57498,1193,940,2015,Auto,13062,5000,57,1,39500,1585,52.166666666666664,Mitsubishi
BMW X3 xDrive30i xLine,SUV,2020-09-11,9yrs 3mths 4days COE left),22190,5366,1210,81505,38110,1998,1745,2020,Auto,53451,68212,185,1,239800,3379,111.13333333333334,BMW
Toyota Vios 1.5A E (COE till 12/2029),Mid-Sized Sedan,2010-01-13,8yrs 6mths 25days COE left),5830,101300,821,27421,31976,1497,1095,2009,Auto,12717,12717,80,4,49988,3125,102.83333333333333,Toyota
Audi A3 Sedan 1.4A TFSI CoD S-tronic,Luxury Sedan,2018-11-15,7yrs 5mths 8days COE left),11460,66041,624,42780,32302,1395,1320,2018,Auto,23548,24968,110,1,97800,2713,89.26666666666667,Audi
Honda Shuttle 1.5A G,Stationwagon,2016-08-05,5yrs 1mth 29days COE left),10140,63584,682,32162,52301,1496,1130,2015,Auto,16869,6869,97,4,55800,1884,61.96666666666667,Honda
Volkswagen Jetta GP 1.4A TSI,Mid-Sized Sedan,2015-07-31,4yrs 1mth 24days COE left),9170,65023,620,35451,55889,1390,1417,2015,Auto,17505,17505,90,1,46800,1514,49.8,Volkswagen
BMW X2 sDrive20i M-Sport X,SUV,2018-08-07,7yrs 2mths  COE left),16160,34503,1210,59155,32551,1998,1460,2018,Auto,39816,47743,141,1,139800,2615,86.0,BMW
Toyota Harrier 2.0A Elegance,SUV,2017-03-20,5yrs 9mths 13days COE left),13090,83254,1196,50616,53300,1986,1580,2016,Auto,28119,26367,111,2,88900,2108,69.43333333333334,Toyota
Nissan Qashqai 2.0A Premium Moonroof,SUV,2016-05-16,4yrs 11mths 9days COE left),10090,55000,1210,37164,47000,1997,1379,2016,Auto,19906,19906,106,3,59800,1799,59.3,Nissan
Lexus IS Turbo IS200t Executive,Luxury Sedan,2017-12-14,6yrs 6mths 7days COE left),15590,61000,1210,68175,53711,1998,1620,2017,Auto,37274,44184,180,1,123800,2377,78.23333333333333,Lexus
Audi A6 2.0A TFSI MU (COE till 02/2029),Luxury Sedan,2009-02-11,7yrs 8mths 4days COE left),7280,176000,1552,24549,31933,1984,1550,2008,Auto,44257,44257,125,6,56000,2799,92.13333333333334,Audi
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2018-03-07,6yrs 9mths  COE left),15510,69000,740,61912,42661,1595,1425,2017,Auto,37239,44135,115,2,126800,2460,81.0,Mercedes-Benz
Nissan Qashqai 1.2A DIG-T Premium,SUV,2016-08-31,5yrs 2mths 24days COE left),10280,82687,508,37863,52301,1197,1285,2016,Auto,18974,13974,85,2,60800,1909,62.8,Nissan
Audi Q5 2.0A TFSI Quattro,SUV,2016-04-25,4yrs 10mths 18days COE left),15790,87000,1194,54838,49602,1984,1845,2016,Auto,36946,43725,132,1,98999,1778,58.6,Audi
Toyota Rav4 2.0A Premium,SUV,2020-11-13,9yrs 5mths 6days COE left),12670,3708,1198,62371,39000,1987,1530,2020,Auto,30048,34068,127,1,136666,3441,113.2,Toyota
BMW M Series M850i Coupe xDrive,Sports Car,2020-09-30,9yrs 3mths 23days COE left),46800,4500,4568,192054,40989,4395,1890,2018,Auto,129518,205133,390,1,538800,3398,111.76666666666667,BMW
Toyota Harrier 2.0A M-Grade Turbo,SUV,2020-07-14,9yrs 1mth 7days COE left),13640,13000,1210,59033,35889,1998,1695,2019,Auto,30808,35132,170,1,141800,3322,109.23333333333333,Toyota
Lexus UX200 Luxury,SUV,2018-12-28,7yrs 6mths 21days COE left),13380,37000,1198,57358,31001,1987,1485,2018,Auto,38007,45210,127,2,123800,2756,90.7,Lexus
Opel Astra 1.0A Turbo,Hatchback,2016-09-19,5yrs 3mths 12days COE left),9130,99309,392,30985,51506,999,1188,2016,Auto,19378,5000,77,2,50800,1927,63.4,Opel
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2015-05-22,3yrs 11mths 15days COE left),16950,70000,740,51387,78001,1595,1425,2015,Auto,35392,31549,115,1,82888,1440,47.5,Mercedes-Benz
Honda HR-V 1.5A LX,SUV,2018-08-17,7yrs 2mths 10days COE left),9590,42254,682,39851,32699,1496,1190,2018,Auto,21245,21743,96,1,79888,2625,86.33333333333333,Honda
Honda Civic 1.8A (COE till 06/2023),Mid-Sized Sedan,2008-06-02,1yr 11mths 26days COE left),9310,155000,1271,7529,18953,1799,1219,2008,Auto,21141,23256,103,3,18500,721,23.866666666666667,Honda
Hyundai Elantra 1.6A GLS S (OPC),Mid-Sized Sedan,2017-06-13,6yrs 6days COE left),7420,22048,238,26674,28201,1591,1345,2017,Auto,12933,12933,93,1,51111,2196,72.2,Hyundai
Volkswagen Golf 1.4A TSI,Hatchback,2017-04-18,5yrs 10mths 11days COE left),10660,61000,624,38432,52000,1395,1249,2016,Auto,20409,10573,92,1,67800,2136,70.36666666666666,Volkswagen
Toyota Noah 2.0A Si,MPV,2015-12-04,4yrs 5mths 27days COE left),14230,57000,1196,46864,58801,1986,1620,2015,Auto,26876,29627,112,2,78800,1637,53.9,Toyota
Jaguar XF 2.0A GTDI Luxury,Luxury Sedan,2017-08-29,6yrs 2mths 22days COE left),14970,42000,1212,96652,52751,1999,1873,2014,Auto,62826,85087,177,2,135800,2272,74.73333333333333,Jaguar
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2017-02-24,5yrs 8mths 17days COE left),15430,46525,740,55762,46229,1595,1425,2016,Auto,37206,39089,115,1,107800,2082,68.56666666666666,Mercedes-Benz
Honda Accord 2.0A (COE till 05/2022),Luxury Sedan,2007-05-25,11mths 18days COE left),9330,139000,1694,5062,26246,1998,1370,2007,Auto,21236,23360,114,2,9000,348,11.6,Honda
Honda Vezel 1.5A X,SUV,2015-05-07,3yrs 11mths  COE left),11360,121800,682,32433,68589,1496,1190,2014,Auto,18556,8556,96,2,48800,1425,47.0,Honda
Kia Cerato 1.6A EX,Mid-Sized Sedan,2019-11-29,8yrs 5mths 22days COE left),8430,12000,738,33806,27000,1591,1287,2019,Auto,14529,14529,93,1,78800,3092,101.73333333333333,Kia
Volkswagen Golf 1.4A TSI EQP Sunroof,Hatchback,2015-08-18,4yrs 2mths 11days COE left),12120,46000,624,33263,56209,1395,1249,2014,Auto,22709,13793,90,1,57800,1531,50.36666666666667,Volkswagen
Mercedes-Benz B-Class B200 Chrome,Hatchback,2013-03-11,1yr 9mths 4days COE left),14400,112000,740,23702,63000,1595,1425,2012,Auto,27947,22947,115,2,36800,639,21.133333333333333,Mercedes-Benz
Volkswagen Golf GT Sport 1.4A TSI (COE till 08/2029),Hatchback,2009-09-10,8yrs 2mths 25days COE left),8590,170000,744,24169,29328,1390,1286,2009,Auto,24161,24161,118,4,70800,3005,98.83333333333333,Volkswagen
Honda Stream 1.8A,MPV,2013-07-31,2yrs 1mth 24days COE left),12010,102000,978,27349,77000,1799,1370,2013,Auto,18024,18024,103,1,34800,784,25.8,Honda
Mazda 3 1.5A,Mid-Sized Sedan,2017-01-24,5yrs 7mths 17days COE left),9030,80000,682,34384,48000,1496,1310,2016,Auto,14777,9777,88,2,55800,2052,67.56666666666666,Mazda
Honda Shuttle 1.5A G Honda Sensing,Stationwagon,2020-02-06,8yrs 7mths 30days COE left),8980,51000,682,37839,35010,1496,1130,2019,Auto,19962,9962,95,1,82900,3160,104.0,Honda
Hyundai i30 1.4A T-GDi DCT Turbo,Hatchback,2019-09-14,8yrs 3mths 7days COE left),9770,31800,600,39880,31917,1353,1240,2019,Auto,17951,17951,95,1,89800,3017,99.23333333333333,Hyundai
Subaru Forester 2.0XT Sunroof,SUV,2017-05-31,5yrs 11mths 24days COE left),12810,71220,1210,45419,53001,1998,1682,2017,Auto,18274,18274,177,1,85800,2179,71.8,Subaru
Honda Civic HB 1.5A VTEC Turbo Sport,Hatchback,2018-05-14,6yrs 11mths 7days COE left),11950,65000,684,51009,37010,1498,1322,2017,Auto,29833,33767,127,1,99800,2527,83.23333333333333,Honda
Toyota Corolla Altis 1.6A,Mid-Sized Sedan,2016-05-04,4yrs 10mths 27days COE left),9740,50000,742,35810,47300,1598,1205,2016,Auto,17982,17982,90,1,56800,1787,58.9,Toyota
Lexus ES250 Luxury Sunroof,Luxury Sedan,2015-11-20,4yrs 5mths 13days COE left),16870,77700,1792,60098,57501,2494,1615,2015,Auto,40884,49238,135,1,99800,1623,53.43333333333333,Lexus
Toyota Corolla Altis 1.6A,Mid-Sized Sedan,2016-05-04,4yrs 10mths 27days COE left),9740,52000,742,35810,47300,1598,1205,2016,Auto,17982,17982,90,1,56800,1787,58.9,Toyota
Mazda 2 HB 1.5A,Hatchback,2020-04-14,8yrs 10mths 7days COE left),8430,5300,682,34280,38000,1496,1060,2019,Auto,18204,8204,81,1,78800,3227,106.23333333333333,Mazda
Toyota Corolla Altis 1.6A,Mid-Sized Sedan,2016-06-10,5yrs 3days COE left),9860,51000,742,39506,53694,1598,1205,2016,Auto,16800,16800,90,1,57800,1828,60.1,Toyota
Toyota Estima 2.4A Aeras G (COE till 12/2030),MPV,2011-04-28,9yrs 6mths 25days COE left),7520,136000,1802,38985,40714,2362,1750,2011,Auto,37052,37052,125,2,72000,3490,114.83333333333333,Toyota
Toyota Corolla Altis 1.6A,Mid-Sized Sedan,2016-06-10,5yrs 3days COE left),9880,54000,742,39506,53694,1598,1205,2016,Auto,16800,16800,90,1,57888,1828,60.1,Toyota
Hyundai Avante 1.6A GLS,Mid-Sized Sedan,2019-08-29,8yrs 2mths 22days COE left),7980,42121,738,35750,31917,1591,1345,2019,Auto,12631,12631,93,2,72000,3002,98.73333333333333,Hyundai
Mercedes-Benz C-Class C180 CGI,Luxury Sedan,2012-10-08,1yr 4mths 1day COE left),18570,82000,740,26402,73501,1595,1485,2012,Auto,30136,30136,115,2,39900,486,16.033333333333335,Mercedes-Benz
Toyota Corolla Altis 1.6A,Mid-Sized Sedan,2017-03-23,5yrs 9mths 16days COE left),10150,59200,742,43635,49430,1598,1215,2016,Auto,19990,19990,90,1,68800,2111,69.53333333333333,Toyota
Honda City 1.5A V,Mid-Sized Sedan,2018-04-27,6yrs 10mths 20days COE left),8940,37700,684,38125,38000,1497,1078,2018,Auto,15908,15908,88,1,69600,2510,82.66666666666667,Honda
Mercedes-Benz E-Class E200 CGI,Luxury Sedan,2013-01-11,1yr 7mths 4days COE left),17300,170000,974,40652,86889,1796,1615,2012,Auto,50742,50742,135,1,53000,579,19.133333333333333,Mercedes-Benz
Kia Carens 2.0A (COE till 10/2024),MPV,2009-10-28,3yrs 4mths 21days COE left),7360,163000,1452,12730,18751,1998,1597,2009,Auto,17209,17209,108,5,25000,1236,40.7,Kia
Mercedes-Benz S-Class S350L CGI,Luxury Sedan,2012-08-17,1yr 2mths 10days COE left),33520,95000,3164,62924,86889,3498,1975,2012,Auto,95928,95928,225,2,88000,435,14.333333333333334,Mercedes-Benz
Mitsubishi Space Star 1.2A,Hatchback,2017-08-28,6yrs 2mths 21days COE left),8240,55000,506,30404,42801,1193,940,2016,Auto,14804,5000,59,2,53800,2271,74.7,Mitsubishi
Land Rover Range Rover Sport 3.0A Supercharged 7-Seater,SUV,2017-05-31,5yrs 11mths 24days COE left),26800,69000,2380,126523,55000,2995,2214,2016,Auto,84912,124842,250,2,222800,2179,71.8,Land
Toyota Camry 2.4A (COE till 12/2028),Luxury Sedan,2009-01-09,7yrs 6mths 25days COE left),6440,128088,2129,23902,31553,2362,1540,2008,Auto,27261,27261,123,5,48800,2760,90.83333333333333,Toyota
Audi A5 Cabriolet 2.0A TFSI Quattro (COE till 10/2030),Sports Car,2010-11-03,9yrs 4mths 25days COE left),9660,130000,1313,35954,38216,1984,1735,2010,Auto,57024,57024,155,3,90888,3430,112.83333333333333,Audi
Kia Cerato K3 1.6A,Mid-Sized Sedan,2018-05-15,6yrs 11mths 8days COE left),8080,41000,738,35256,38510,1591,1295,2017,Auto,11361,11361,95,1,61800,2528,83.26666666666667,Kia
Audi A6 2.0A TFSI MU,Luxury Sedan,2014-09-30,3yrs 3mths 23days COE left),15270,104000,1194,50154,74801,1984,1565,2013,Auto,38197,40476,132,3,70888,1208,39.766666666666666,Audi
Honda Civic 1.5A VTEC Turbo Sunroof,Mid-Sized Sedan,2018-07-10,7yrs 1mth 3days COE left),11760,56000,684,47312,37000,1498,1324,2018,Auto,26476,29067,127,1,98000,2588,85.1,Honda
Toyota Corolla Altis 1.6A Elegance (OPC),Mid-Sized Sedan,2016-01-19,4yrs 7mths 12days COE left),8660,36489,242,26655,28002,1598,1205,2015,Auto,19589,19589,90,2,49800,1682,55.4,Toyota
Mercedes-Benz GLC-Class GLC250 4MATIC,SUV,2019-12-02,8yrs 5mths 25days COE left),19910,24511,1202,74791,42020,1991,1735,2019,Auto,45235,55329,155,1,196800,3095,101.83333333333333,Mercedes-Benz
Subaru Forester 2.0i-L Sunroof,SUV,2016-03-28,4yrs 9mths 21days COE left),13340,80000,1208,33750,47604,1995,1566,2016,Auto,15515,15515,110,2,71888,1751,57.7,Subaru
Volkswagen Golf 1.4A TSI EQP Sunroof,Hatchback,2015-02-10,3yrs 8mths 3days COE left),13890,115000,624,28555,62002,1395,1249,2014,Auto,22719,8807,90,3,55555,1338,44.1,Volkswagen
Land Rover Discovery Sport 2.0A Si4 HSE 7-Seater Sunroof,SUV,2017-05-02,5yrs 10mths 25days COE left),16380,49809,1212,79068,54556,1999,1841,2017,Auto,50339,62611,177,2,127998,2150,70.83333333333333,Land
Honda Crossroad 1.8A LX (COE till 10/2022),SUV,2007-10-05,1yr 3mths 28days COE left),10910,150149,1369,6704,25226,1799,1410,2007,Auto,19569,21526,103,4,14500,483,15.933333333333334,Honda
Ferrari 458 Spider,Sports Car,2013-04-01,1yr 9mths 25days COE left),229890,30000,4728,270803,95501,4497,1565,2013,Auto,460829,460829,416,2,648000,660,21.833333333333332,Ferrari
Honda Civic 1.8A VTi-S (COE till 05/2023),Mid-Sized Sedan,2008-05-24,1yr 11mths 17days COE left),7900,160000,1271,7594,19356,1799,1219,2008,Auto,21092,21092,103,4,15500,712,23.566666666666666,Honda
Toyota Corolla Altis 1.6A (COE till 04/2023),Mid-Sized Sedan,2008-04-07,1yr 10mths  COE left),7370,197000,1039,7085,19328,1598,1195,2008,Auto,16994,18694,80,6,13500,665,22.0,Toyota
Honda Shuttle 1.5A G,Stationwagon,2019-07-08,8yrs 1mth 1day COE left),8580,23000,682,29723,28589,1496,1130,2019,Auto,18791,8791,97,1,73800,2951,97.03333333333333,Honda
Jaguar XJ 2.0A TSS Premium Luxury SWB Sunroof,Luxury Sedan,2016-08-01,5yrs 1mth 25days COE left),17900,41100,1212,115932,57508,1999,1804,2015,Auto,79478,115061,177,1,149800,1880,61.833333333333336,Jaguar
Kia Cerato 1.6A GT Line Sunroof,Mid-Sized Sedan,2020-03-16,8yrs 9mths 9days COE left),8900,15000,738,43521,32999,1591,1287,2019,Auto,19406,19406,93,1,87800,3199,105.3,Kia
BMW 5 Series 528i Luxury Sunroof,Luxury Sedan,2014-11-28,3yrs 5mths 21days COE left),18780,138483,1210,65003,73900,1997,1615,2014,Auto,52258,61065,180,1,95888,1266,41.7,BMW
Toyota Harrier 2.0A G-Grade,SUV,2018-10-08,7yrs 4mths 1day COE left),13960,45442,1210,51954,31301,1998,1695,2018,Auto,33306,38629,170,1,121800,2676,88.03333333333333,Toyota
Mercedes-Benz A-Class A180 Style,Hatchback,2017-06-23,6yrs 16days COE left),12900,59600,740,46010,51765,1595,1395,2017,Auto,23295,19613,90,1,87800,2206,72.53333333333333,Mercedes-Benz
Mercedes-Benz CLA-Class CLA180 Urban,Luxury Sedan,2017-02-23,5yrs 8mths 16days COE left),13840,80600,740,49664,50951,1595,1430,2016,Auto,28839,27375,90,3,92800,2081,68.53333333333333,Mercedes-Benz
Mercedes-Benz E-Class E250 Avantgarde,Luxury Sedan,2018-04-05,6yrs 9mths 29days COE left),19340,69953,1202,86898,42322,1991,1615,2018,Auto,58503,77306,155,1,170800,2489,81.96666666666667,Mercedes-Benz
BMW 4 Series 428i Convertible M-Sport,Sports Car,2015-09-28,4yrs 3mths 21days COE left),21530,98730,1210,82235,61001,1997,1700,2014,Auto,59972,79950,180,3,132800,1571,51.7,BMW
Audi Q5 2.0A TFSI Quattro (COE till 03/2025),SUV,2010-03-22,3yrs 9mths 15days COE left),12610,152000,1433,13429,17708,1984,1740,2009,Auto,39396,39396,155,3,47800,1380,45.5,Audi
Volvo V40 T2,Hatchback,2016-07-08,5yrs 1mth 1day COE left),10450,70000,684,40882,52301,1498,1450,2016,Auto,22879,19031,90,1,62688,1856,61.03333333333333,Volvo
Hyundai Avante 1.6A (COE till 10/2024),Mid-Sized Sedan,2009-11-24,3yrs 4mths 25days COE left),6400,156000,886,10412,15287,1591,1264,2009,Auto,11400,11400,89,2,21800,1240,40.833333333333336,Hyundai
BMW X1 sDrive18i,SUV,2017-05-23,5yrs 11mths 16days COE left),13870,60200,684,55418,55000,1499,1430,2017,Auto,30855,30197,100,1,97800,2171,71.53333333333333,BMW
Audi Q2 1.0A TFSI S-tronic,SUV,2018-02-12,6yrs 8mths 5days COE left),12180,58125,392,46178,36890,999,1315,2017,Auto,26197,28676,85,1,95800,2435,80.16666666666667,Audi
Mercedes-Benz B-Class B180 Style,Hatchback,2019-06-18,8yrs 11days COE left),14210,21000,586,59363,42564,1332,1405,2019,Auto,29676,33547,100,1,130988,2931,96.36666666666666,Mercedes-Benz
Audi Q3 2.0A TFSI Quattro,SUV,2015-11-24,4yrs 5mths 17days COE left),14420,112000,1194,55836,61103,1984,1615,2015,Auto,34828,40760,132,1,84800,1627,53.56666666666667,Audi
Hyundai Elantra 1.6A,Mid-Sized Sedan,2016-01-29,4yrs 7mths 22days COE left),9070,91164,738,34523,51301,1591,1292,2015,Auto,15245,15245,97,2,49800,1692,55.733333333333334,Hyundai
Toyota Vios 1.5A G (COE till 12/2023),Mid-Sized Sedan,2008-12-16,2yrs 6mths 9days COE left),7130,158289,889,6965,13786,1497,1110,2008,Auto,13245,13245,80,3,18000,919,30.3,Toyota
Kia Stonic 1.0T SX Sunroof (OPC),SUV,2019-04-03,7yrs 9mths 27days COE left),7420,29689,70,13617,8920,998,1185,2018,Auto,18847,8847,88,1,62500,2852,93.9,Kia
Mercedes-Benz CLA-Class CLA180 Urban,Luxury Sedan,2017-04-12,5yrs 10mths 5days COE left),15100,68000,740,50239,50789,1595,1430,2016,Auto,28839,27375,90,1,101988,2130,70.16666666666667,Mercedes-Benz
Suzuki SX4 HB 1.6A (COE till 04/2023),Hatchback,2008-04-21,1yr 10mths 14days COE left),7910,156000,1030,7233,19328,1586,1220,2008,Auto,13600,13600,75,4,14800,679,22.466666666666665,Suzuki
Nissan Sylphy 1.6A Premium,Mid-Sized Sedan,2018-03-31,6yrs 9mths 24days COE left),8580,71801,742,38342,38000,1598,1205,2018,Auto,16572,16572,85,1,66800,2484,81.8,Nissan
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,Stationwagon,2019-08-22,8yrs 2mths 15days COE left),13910,17500,740,48795,27000,1595,1430,2019,Auto,31065,35491,90,1,131988,2995,98.5,Mercedes-Benz
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,Stationwagon,2018-06-13,7yrs 6days COE left),14030,52000,740,54424,38000,1595,1430,2018,Auto,32133,36987,90,1,116988,2561,84.2,Mercedes-Benz
Toyota Harrier 2.0A Premium Panoramic,SUV,2017-04-11,5yrs 10mths 4days COE left),13900,52000,1196,53331,54000,1986,1610,2015,Auto,30008,29012,111,1,95800,2129,70.13333333333334,Toyota
Honda Civic 1.5A VTEC Turbo Sunroof,Mid-Sized Sedan,2018-10-11,7yrs 4mths 4days COE left),11900,41738,684,46867,32551,1498,1324,2018,Auto,27562,30587,127,1,102800,2679,88.13333333333334,Honda
Honda Civic 1.6A VTi,Mid-Sized Sedan,2019-07-15,8yrs 1mth 8days COE left),10080,35000,742,38735,29159,1597,1237,2019,Auto,20084,20118,92,1,91800,2958,97.26666666666667,Honda
BMW 2 Series 218i Coupe Sunroof,Sports Car,2016-04-28,4yrs 10mths 21days COE left),15470,50000,684,41412,49501,1499,1360,2016,Auto,26848,24588,100,2,88000,1781,58.7,BMW
Nissan Sylphy 1.6A,Mid-Sized Sedan,2018-06-19,7yrs 12days COE left),8470,55805,742,37952,36426,1598,1205,2018,Auto,16419,16419,85,1,67800,2567,84.4,Nissan
Mercedes-Benz E-Class E250 CGI (COE till 05/2030),Luxury Sedan,2010-05-18,8yrs 11mths 11days COE left),8920,137600,1071,30046,33568,1796,1650,2009,Auto,39845,39845,150,4,79800,3261,107.36666666666666,Mercedes-Benz
Subaru Forester 2.0XT Sunroof,SUV,2017-09-28,6yrs 3mths 21days COE left),12570,69666,1210,42664,47501,1998,1682,2017,Auto,16906,16906,177,2,87800,2301,75.7,Subaru
Toyota Camry 2.0A (COE till 06/2026),Luxury Sedan,2006-09-28,5yrs 24days COE left),9250,191249,1815,24572,48479,1998,1530,2006,Auto,28129,30942,108,3,46900,1849,60.8,Toyota
Hyundai Elantra 1.6A GLS S,Mid-Sized Sedan,2017-08-25,6yrs 2mths 18days COE left),8590,49212,738,38084,45923,1591,1345,2017,Auto,12698,12698,93,2,59800,2268,74.6,Hyundai
Mercedes-Benz GLA-Class GLA180 Urban Edition,SUV,2019-05-30,7yrs 11mths 23days COE left),13770,30445,740,45170,26659,1595,1435,2019,Auto,28463,31849,90,1,125888,2908,95.76666666666667,Mercedes-Benz
Mercedes-Benz CLA-Class CLA180 AMG Line,Luxury Sedan,2017-04-19,5yrs 10mths 12days COE left),15170,45500,740,52519,51765,1595,1430,2017,Auto,30372,29521,90,1,103800,2137,70.4,Mercedes-Benz
Hyundai Accent 1.4A,Mid-Sized Sedan,2019-01-09,7yrs 7mths 2days COE left),7970,48584,608,25762,25501,1368,1115,2018,Auto,8517,8517,73,1,64800,2767,91.06666666666666,Hyundai
Honda HR-V 1.5A DX,SUV,2016-10-20,5yrs 4mths 13days COE left),10130,87069,682,40229,51506,1496,1185,2016,Auto,21244,16742,96,2,62800,1958,64.43333333333334,Honda
Hyundai Elantra 1.6A GLS,Mid-Sized Sedan,2018-08-20,7yrs 2mths 13days COE left),8510,29000,738,32513,33798,1591,1345,2018,Auto,10867,10867,93,1,66800,2628,86.43333333333334,Hyundai
