Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
Toyota Corolla Axio 1.5A X (COE till 11/2027),Mid-Sized Sedan,2009-05-11,6yrs 5mths 24days COE left),6920,122880,818,27244,41994,1496,1130,2008,Auto,15250,15250,81,1,44888,2364,77.8,Toyota
Mercedes-Benz CLA-Class CLA200 AMG Line,Luxury Sedan,2014-01-09,2yrs 7mths 2days COE left),18010,108189,740,36566,85000,1595,1430,2013,Auto,30161,24226,115,1,58800,942,31.066666666666666,Mercedes-Benz
Mercedes-Benz A-Class A45 AMG 4MATIC+,Hatchback,2017-03-01,5yrs 8mths 22days COE left),27720,35000,1202,76712,52807,1991,1555,2016,Auto,49934,61908,280,2,189900,2087,68.73333333333333,Mercedes-Benz
Mazda 3 1.5A Sunroof,Mid-Sized Sedan,2017-08-31,6yrs 2mths 24days COE left),9110,48000,682,36439,46489,1496,1310,2017,Auto,14934,9934,88,2,61800,2274,74.8,Mazda
BMW X1 sDrive18i,SUV,2019-06-14,8yrs 7days COE left),13930,37056,684,63397,39728,1499,1430,2019,Auto,35730,42022,103,1,132800,2927,96.23333333333333,BMW
Audi A4 2.0A TFSI S-tronic,Luxury Sedan,2018-04-24,6yrs 10mths 17days COE left),14000,54339,1194,54987,37605,1984,1480,2018,Auto,33425,38795,140,1,115800,2507,82.56666666666666,Audi
Mitsubishi Outlander 2.0A,SUV,2019-09-20,8yrs 3mths 13days COE left),11430,28000,1210,49313,36001,1998,1480,2019,Auto,24244,25942,110,1,107800,3023,99.43333333333334,Mitsubishi
Volvo S60 T2,Luxury Sedan,2017-12-27,6yrs 6mths 20days COE left),10440,66000,684,44751,42339,1498,1558,2017,Auto,25458,22642,90,2,79800,2390,78.66666666666667,Volvo
Mitsubishi Lancer 1.6M GLX (COE till 05/2024),Mid-Sized Sedan,2009-09-24,2yrs 11mths 25days COE left),9670,120000,881,8328,13943,1584,1162,2009,Manual,12200,12200,79,2,28888,1085,35.833333333333336,Mitsubishi
Volvo S90 T5 Momentum,Luxury Sedan,2017-04-25,5yrs 10mths 18days COE left),15880,118000,1176,65276,54000,1969,1716,2017,Auto,37616,44663,187,1,115800,2143,70.6,Volvo
Skoda Octavia 2.0A TSI RS,Mid-Sized Sedan,2019-02-11,7yrs 8mths 4days COE left),13460,38000,1194,46581,32200,1984,1577,2018,Auto,26501,29102,180,1,118000,2799,92.13333333333334,Skoda
Toyota Alphard 2.5A Elegance Sunroof,MPV,2015-11-23,4yrs 5mths 16days COE left),18410,124000,1792,65664,59889,2494,2075,2015,Auto,45427,55598,134,2,110000,1626,53.53333333333333,Toyota
BMW M Series M5 Competition,Sports Car,2021-05-07,9yrs 11mths  COE left),46500,320,4568,177769,49778,4395,1970,2021,Auto,119609,187297,460,1,555000,3615,119.0,BMW
Audi A6 1.8A TFSI Ultra S-tronic,Luxury Sedan,2015-12-26,4yrs 6mths 19days COE left),14290,77000,976,59628,55001,1798,1645,2015,Auto,44560,49384,140,2,89800,1659,54.63333333333333,Audi
Toyota Camry 2.0A (COE till 04/2023),Luxury Sedan,2008-04-30,1yr 10mths 23days COE left),8700,162009,1694,7751,20441,1998,1530,2008,Auto,26830,26830,108,4,16500,688,22.766666666666666,Toyota
Honda Shuttle 1.5A G Honda Sensing,Stationwagon,2020-03-27,8yrs 9mths 20days COE left),8840,13018,682,34874,31210,1496,1130,2019,Auto,19845,9845,95,1,82800,3210,105.66666666666667,Honda
Lexus ES250 Executive Sunroof,Luxury Sedan,2016-10-14,5yrs 4mths 7days COE left),16350,35000,1792,61525,55201,2494,1615,2016,Auto,36195,42673,135,1,108888,1952,64.23333333333333,Lexus
Infiniti Q60 Coupe 2.0T,Sports Car,2017-08-03,6yrs 1mth 27days COE left),15950,51000,1202,63297,49899,1991,1692,2017,Auto,36794,43512,155,2,120000,2247,73.9,Infiniti
Audi Q3 1.4A TFSI S-Tronic,SUV,2016-08-22,5yrs 2mths 15days COE left),13140,54951,624,53185,57903,1395,1480,2016,Auto,27630,30682,110,3,83800,1900,62.5,Audi
Lexus ES250 Luxury,Luxury Sedan,2015-09-18,4yrs 3mths 11days COE left),16010,63266,1792,60177,62101,2494,1615,2015,Auto,39966,47953,135,1,92600,1561,51.36666666666667,Lexus
Mazda 8 2.3A (COE till 12/2030),MPV,2010-12-16,9yrs 6mths 9days COE left),7440,126000,1672,38807,40714,2261,1780,2010,Auto,32907,32907,120,3,70888,3474,114.3,Mazda
Mitsubishi Lancer EX 1.5A GLS (COE till 09/2028),Mid-Sized Sedan,2009-02-25,7yrs 3mths 24days COE left),7480,106000,889,23683,32339,1499,1313,2009,Auto,20676,20676,80,4,54800,2669,87.8,Mitsubishi
Mazda Biante 2.0A,MPV,2015-02-26,3yrs 8mths 19days COE left),11900,75000,1210,40322,75200,1998,1664,2014,Auto,18953,18953,111,2,53800,1354,44.63333333333333,Mazda
